"BehaviorSpace results (NetLogo 6.2.0)"
"code (4).nlogo"
"WaitingTime"
"01/28/2021 15:45:31:492 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","distancing?","spread-decease?","threshold-attendance","numberOfPeople","max-patience","r-distance","[step]","waitingTime"
"3","true","false","6","121","50","1.5","22","0"
"1","true","false","6","121","50","1.5","21","0"
"4","true","false","6","121","100","1.5","32","0"
"5","true","false","6","121","100","1.5","24","0"
"6","true","false","6","121","100","1.5","21","0"
"2","true","false","6","121","50","1.5","18","0"
"1","true","false","6","121","50","1.5","22","0"
"3","true","false","6","121","50","1.5","23","0"
"5","true","false","6","121","100","1.5","25","0"
"6","true","false","6","121","100","1.5","22","0"
"4","true","false","6","121","100","1.5","33","0"
"2","true","false","6","121","50","1.5","19","0"
"1","true","false","6","121","50","1.5","23","0"
"3","true","false","6","121","50","1.5","24","0"
"6","true","false","6","121","100","1.5","23","0"
"5","true","false","6","121","100","1.5","26","0"
"4","true","false","6","121","100","1.5","34","0"
"2","true","false","6","121","50","1.5","20","0"
"1","true","false","6","121","50","1.5","24","0"
"6","true","false","6","121","100","1.5","24","0"
"3","true","false","6","121","50","1.5","25","0"
"5","true","false","6","121","100","1.5","27","0"
"4","true","false","6","121","100","1.5","35","0"
"6","true","false","6","121","100","1.5","25","0"
"1","true","false","6","121","50","1.5","25","0"
"2","true","false","6","121","50","1.5","21","0"
"3","true","false","6","121","50","1.5","26","0"
"5","true","false","6","121","100","1.5","28","0"
"4","true","false","6","121","100","1.5","36","0"
"6","true","false","6","121","100","1.5","26","0"
"3","true","false","6","121","50","1.5","27","0"
"1","true","false","6","121","50","1.5","26","0"
"2","true","false","6","121","50","1.5","22","0"
"5","true","false","6","121","100","1.5","29","0"
"4","true","false","6","121","100","1.5","37","0"
"6","true","false","6","121","100","1.5","27","0"
"1","true","false","6","121","50","1.5","27","0"
"2","true","false","6","121","50","1.5","23","0"
"3","true","false","6","121","50","1.5","28","0"
"6","true","false","6","121","100","1.5","28","0"
"5","true","false","6","121","100","1.5","30","0"
"4","true","false","6","121","100","1.5","38","0"
"3","true","false","6","121","50","1.5","29","0"
"6","true","false","6","121","100","1.5","29","0"
"1","true","false","6","121","50","1.5","28","0"
"2","true","false","6","121","50","1.5","24","0"
"4","true","false","6","121","100","1.5","39","0"
"5","true","false","6","121","100","1.5","31","0"
"3","true","false","6","121","50","1.5","30","0"
"6","true","false","6","121","100","1.5","30","0"
"1","true","false","6","121","50","1.5","29","0"
"2","true","false","6","121","50","1.5","25","0"
"5","true","false","6","121","100","1.5","32","0"
"4","true","false","6","121","100","1.5","40","0"
"6","true","false","6","121","100","1.5","31","0"
"1","true","false","6","121","50","1.5","30","0"
"2","true","false","6","121","50","1.5","26","0"
"5","true","false","6","121","100","1.5","33","0"
"4","true","false","6","121","100","1.5","41","0"
"3","true","false","6","121","50","1.5","31","0"
"6","true","false","6","121","100","1.5","32","0"
"2","true","false","6","121","50","1.5","27","0"
"1","true","false","6","121","50","1.5","31","0"
"6","true","false","6","121","100","1.5","33","0"
"4","true","false","6","121","100","1.5","42","0"
"5","true","false","6","121","100","1.5","34","0"
"3","true","false","6","121","50","1.5","32","0"
"6","true","false","6","121","100","1.5","34","0"
"4","true","false","6","121","100","1.5","43","0"
"2","true","false","6","121","50","1.5","28","0"
"1","true","false","6","121","50","1.5","32","0"
"5","true","false","6","121","100","1.5","35","0"
"6","true","false","6","121","100","1.5","35","0"
"3","true","false","6","121","50","1.5","33","0"
"4","true","false","6","121","100","1.5","44","0"
"2","true","false","6","121","50","1.5","29","0"
"1","true","false","6","121","50","1.5","33","0"
"6","true","false","6","121","100","1.5","36","0"
"5","true","false","6","121","100","1.5","36","0"
"3","true","false","6","121","50","1.5","34","0"
"4","true","false","6","121","100","1.5","45","0"
"6","true","false","6","121","100","1.5","37","0"
"2","true","false","6","121","50","1.5","30","0"
"6","true","false","6","121","100","1.5","38","0"
"4","true","false","6","121","100","1.5","46","0"
"1","true","false","6","121","50","1.5","34","0"
"3","true","false","6","121","50","1.5","35","0"
"5","true","false","6","121","100","1.5","37","0"
"2","true","false","6","121","50","1.5","31","0"
"6","true","false","6","121","100","1.5","39","0"
"4","true","false","6","121","100","1.5","47","0"
"1","true","false","6","121","50","1.5","35","0"
"6","true","false","6","121","100","1.5","40","0"
"3","true","false","6","121","50","1.5","36","0"
"5","true","false","6","121","100","1.5","38","0"
"2","true","false","6","121","50","1.5","32","0"
"4","true","false","6","121","100","1.5","48","0"
"6","true","false","6","121","100","1.5","41","0"
"1","true","false","6","121","50","1.5","36","0"
"6","true","false","6","121","100","1.5","42","0"
"5","true","false","6","121","100","1.5","39","0"
"3","true","false","6","121","50","1.5","37","0"
"4","true","false","6","121","100","1.5","49","0"
"2","true","false","6","121","50","1.5","33","0"
"1","true","false","6","121","50","1.5","37","0"
"6","true","false","6","121","100","1.5","43","0"
"5","true","false","6","121","100","1.5","40","0"
"4","true","false","6","121","100","1.5","50","0"
"3","true","false","6","121","50","1.5","38","0"
"6","true","false","6","121","100","1.5","44","0"
"2","true","false","6","121","50","1.5","34","0"
"1","true","false","6","121","50","1.5","38","0"
"5","true","false","6","121","100","1.5","41","0"
"4","true","false","6","121","100","1.5","51","0"
"6","true","false","6","121","100","1.5","45","0"
"3","true","false","6","121","50","1.5","39","0"
"2","true","false","6","121","50","1.5","35","0"
"5","true","false","6","121","100","1.5","42","0"
"6","true","false","6","121","100","1.5","46","0"
"1","true","false","6","121","50","1.5","39","0"
"3","true","false","6","121","50","1.5","40","0"
"4","true","false","6","121","100","1.5","52","0"
"5","true","false","6","121","100","1.5","43","0"
"6","true","false","6","121","100","1.5","47","0"
