BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,
code (4).nlogo,,,,,,,,,,
masks2,,,,,,,,,,
01/29/2021 13:41:21:650 +0100,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,
-16,16,-16,16,,,,,,,
[run number],distancing?,percent-wearing-masks,threshold-attendance,numberOfPeople,spread-decease?,probability-spreading,max-patience,r-distance,[step],"count people with [status = ""infected""]"
6,TRUE,50,6,121,TRUE,0.5,100,1.5,17,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,19,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,17,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,20,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,20,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,20,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,18,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,21,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,21,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,21,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,18,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,22,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,22,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,22,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,19,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,23,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,23,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,23,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,24,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,20,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,24,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,24,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,25,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,19,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,21,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,25,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,26,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,20,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,25,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,22,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,26,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,21,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,27,2
